Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Enter task title""), eTaskTitle, 0)",,,,11-11-2024 19:12:50,11-11-2024 19:12:52,1.978s,PASSED
"setText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Enter your task""), eTask, 0)",,,,11-11-2024 19:12:52,11-11-2024 19:12:55,2.592s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Set Date""), 0)",,,,11-11-2024 19:12:55,11-11-2024 19:12:57,1.625s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.view.View - Date-16""), 0)",,,,11-11-2024 19:12:57,11-11-2024 19:12:57,0.828s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.Button - DateOK""), 0)",,,,11-11-2024 19:12:57,11-11-2024 19:12:58,0.430s,PASSED
"tap(findTestObject(""TODO/3.Create Task/android.widget.EditText - Set Time""), 0)",,,,11-11-2024 19:12:58,11-11-2024 19:12:59,0.752s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.SetTimeText Button""), 0)",,,,11-11-2024 19:12:59,11-11-2024 19:13:00,1.796s,PASSED
"setText(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.EditText - SetTimeText Hours""), eTimeHours, 0)",,,,11-11-2024 19:13:00,11-11-2024 19:13:03,2.757s,PASSED
"setText(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.EditText - SetTimeText Minutes""), eTimeMinutes, 0)",,,,11-11-2024 19:13:03,11-11-2024 19:13:05,1.988s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.CheckedTextView - SetTimeTextAMPM""), 0)",,,,11-11-2024 19:13:05,11-11-2024 19:13:07,1.445s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.CheckedTextView - PM""), 0)",,,,11-11-2024 19:13:07,11-11-2024 19:13:07,0.758s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.Button - TimeOK""), 0)",,,,11-11-2024 19:13:07,11-11-2024 19:13:08,0.215s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.TextView - SelectCategory""), 0)",,,,11-11-2024 19:13:08,11-11-2024 19:13:09,1.041s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.CheckedTextView - Personal""), 0)",,,,11-11-2024 19:13:09,11-11-2024 19:13:10,1.476s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.CreateTask""), 0)",,,,11-11-2024 19:13:10,11-11-2024 19:13:10,0.224s,PASSED
"verifyElementText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.TextView - Dashboard TaskTitle""), eTaskTitle)",,,,11-11-2024 19:13:10,11-11-2024 19:13:11,1.129s,PASSED
closeApplication(),,,,11-11-2024 19:13:11,11-11-2024 19:13:13,1.765s,PASSED
,,,,,,,
Test Cases/TC_Edit Task,,,,11-11-2024 19:13:13,11-11-2024 19:14:34,1m - 20.267s,PASSED
"callTestCase(findTestCase(""Block/Create Task""), [""TaskTitle"":TaskTitle, ""Task"":Task, ""TimeHours"":TimeHours, ""TimeMinutes"":TimeMinutes], STOP_ON_FAILURE)",,,,11-11-2024 19:13:13,11-11-2024 19:14:08,54.697s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.ImageButton - TaskOption""), 0)",,,,11-11-2024 19:14:08,11-11-2024 19:14:08,0.181s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.TextView - Edit""), 0)",,,,11-11-2024 19:14:08,11-11-2024 19:14:10,1.992s,PASSED
"setText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Enter task title""), eTaskTitle, 0)",,,,11-11-2024 19:14:10,11-11-2024 19:14:12,2.285s,PASSED
"setText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Enter your task""), eTask, 0)",,,,11-11-2024 19:14:12,11-11-2024 19:14:15,2.431s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Set Date""), 0)",,,,11-11-2024 19:14:15,11-11-2024 19:14:16,1.567s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.view.View - Date-16""), 0)",,,,11-11-2024 19:14:16,11-11-2024 19:14:17,0.851s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.Button - DateOK""), 0)",,,,11-11-2024 19:14:17,11-11-2024 19:14:18,0.755s,PASSED
"tap(findTestObject(""TODO/3.Create Task/android.widget.EditText - Set Time""), 0)",,,,11-11-2024 19:14:18,11-11-2024 19:14:19,0.654s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.SetTimeText Button""), 0)",,,,11-11-2024 19:14:19,11-11-2024 19:14:20,1.762s,PASSED
"setText(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.EditText - SetTimeText Hours""), eTimeHours, 0)",,,,11-11-2024 19:14:20,11-11-2024 19:14:23,2.129s,PASSED
"setText(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.EditText - SetTimeText Minutes""), eTimeMinutes, 0)",,,,11-11-2024 19:14:23,11-11-2024 19:14:25,2.481s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.CheckedTextView - SetTimeTextAMPM""), 0)",,,,11-11-2024 19:14:25,11-11-2024 19:14:27,1.764s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.CheckedTextView - PM""), 0)",,,,11-11-2024 19:14:27,11-11-2024 19:14:28,0.776s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.Button - TimeOK""), 0)",,,,11-11-2024 19:14:28,11-11-2024 19:14:28,0.185s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.TextView - SelectCategory""), 0)",,,,11-11-2024 19:14:28,11-11-2024 19:14:29,0.960s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.CheckedTextView - Personal""), 0)",,,,11-11-2024 19:14:29,11-11-2024 19:14:30,1.472s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.CreateTask""), 0)",,,,11-11-2024 19:14:30,11-11-2024 19:14:30,0.207s,PASSED
"verifyElementText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.TextView - Dashboard TaskTitle""), eTaskTitle)",,,,11-11-2024 19:14:30,11-11-2024 19:14:32,1.210s,PASSED
closeApplication(),,,,11-11-2024 19:14:32,11-11-2024 19:14:34,1.902s,PASSED
